id;URL;author;author URL;date observed;date observed (timestamp milliseconds);project;current name;original name;family;valid;license;latitude;longitude;comments;images;zone
1012648792;https://identify.plantnet.org/weurope/observations/1012648792;Kim P.;https://identify.plantnet.org/users/103923240;Mar 8, 2022;1650000000000;weurope;Myrica faya Aiton;Myrica faya Aiton;Myricaceae;TRUE;cc-by-sa;28,53576267;-16,31352053;;"https://bs.plantnet.org/image/o/f798056da6f0ada8e3645b06f7974116bc29f5ae (leaf)
https://bs.plantnet.org/image/o/b6dc29be0a54f4eefdd5096f69be66361dcbf68e (flower)";loorbeerwald
1012646633;https://identify.plantnet.org/the-plant-list/observations/1012646633;Kim P.;https://identify.plantnet.org/users/103923240;Mar 7, 2022;1650000000000;the-plant-list;Ephedra fragilis Desf.;Ephedra fragilis Desf.;Ephedraceae;TRUE;cc-by-sa;28,3740618;-16,46374519;;"https://bs.plantnet.org/image/o/ad96e4a03512563f80a79800f79c2c688a4e27fa (leaf)
https://bs.plantnet.org/image/o/a056550e351e85b229d8882ab4e65eb13055981e (habit)";kanarenkiefernwaelder
1012646605;https://identify.plantnet.org/the-plant-list/observations/1012646605;Kim P.;https://identify.plantnet.org/users/103923240;Mar 7, 2022;1650000000000;the-plant-list;Pinus canariensis C.Sm.;Pinus canariensis C.Sm.;Pinaceae;TRUE;cc-by-sa;28,3740113;-16,46402012;;"https://bs.plantnet.org/image/o/5b6bbfd2679e8da2be457bad2f2c97af1cfe64e0 (leaf)
https://bs.plantnet.org/image/o/0d83eeb46ce7bf5b32e84d1b1dd111361a954fde (habit)";kanarenkiefernwaelder
1012645716;https://identify.plantnet.org/the-plant-list/observations/1012645716;Kim P.;https://identify.plantnet.org/users/103923240;Mar 7, 2022;1650000000000;the-plant-list;Euphorbia balsamifera Aiton;Euphorbia balsamifera Aiton;Euphorbiaceae;TRUE;cc-by-sa;28,29878447;-16,37124804;;"https://bs.plantnet.org/image/o/be57565c51f9691e005f049d15e6bbadaea20e26 (leaf)
https://bs.plantnet.org/image/o/58554f5540ef10ecacc9c01cde46f6bcb6be8160 (fruit)";sukkulentenbusch
1012645713;https://identify.plantnet.org/the-plant-list/observations/1012645713;Kim P.;https://identify.plantnet.org/users/103923240;Mar 7, 2022;1650000000000;the-plant-list;Euphorbia balsamifera Aiton;Euphorbia balsamifera Aiton;Euphorbiaceae;TRUE;cc-by-sa;28,2989392;-16,37125709;;"https://bs.plantnet.org/image/o/2c792c6b957103925f791ceb6656add03feca735 (leaf)
https://bs.plantnet.org/image/o/2e42277bc28f6d91ab098ba6b1b0b1f1694071dd (habit)";sukkulentenbusch
1012645691;https://identify.plantnet.org/the-plant-list/observations/1012645691;Kim P.;https://identify.plantnet.org/users/103923240;Mar 7, 2022;1650000000000;the-plant-list;Schizogyne sericea (L.f.) DC.;Schizogyne sericea (L.f.) DC.;Compositae;TRUE;cc-by-sa;28,29891653;-16,37119272;;"https://bs.plantnet.org/image/o/d4b080660230645df3cc43cea03b265ab41368b7 (leaf)
https://bs.plantnet.org/image/o/58369a038455f68911c09ebbe65119752639fa31 (flower)";sukkulentenbusch
1012645671;https://identify.plantnet.org/the-plant-list/observations/1012645671;Kim P.;https://identify.plantnet.org/users/103923240;Mar 7, 2022;1650000000000;the-plant-list;Rumex lunaria L.;Rumex lunaria L.;Polygonaceae;TRUE;cc-by-sa;28,29904138;-16,37136153;;"https://bs.plantnet.org/image/o/e50d5195acb19bb0e8880bcc3cae5141da2e96b5 (leaf)
https://bs.plantnet.org/image/o/ca3c093459e30b1543b4e8794431c2a4801d17eb (habit)";sukkulentenbusch
1012645665;https://identify.plantnet.org/the-plant-list/observations/1012645665;Kim P.;https://identify.plantnet.org/users/103923240;Mar 7, 2022;1650000000000;the-plant-list;Kleinia neriifolia Haw.;Kleinia neriifolia Haw.;Compositae;TRUE;cc-by-sa;28,29900953;-16,37142414;;"https://bs.plantnet.org/image/o/e7bc43d69d70432f3ef5a56f68d8c66f420e7479 (leaf)
https://bs.plantnet.org/image/o/6c427e4a893cc50aa8aba2cd296f0a4de6b5a99a (habit)";sukkulentenbusch
1012645643;https://identify.plantnet.org/the-plant-list/observations/1012645643;Kim P.;https://identify.plantnet.org/users/103923240;Mar 7, 2022;1650000000000;the-plant-list;Scilla haemorrhoidalis Webb & Berthel.;Scilla haemorrhoidalis Webb & Berthel.;Asparagaceae;TRUE;cc-by-sa;28,29901518;-16,37147686;;"https://bs.plantnet.org/image/o/55b253a12ae5762a3b670c32c4c8bd6e79dded86 (flower)
https://bs.plantnet.org/image/o/e5801920618b5e3eb65bc8acd2329908b26cd362 (leaf)";sukkulentenbusch
1012645626;https://identify.plantnet.org/the-plant-list/observations/1012645626;Kim P.;https://identify.plantnet.org/users/103923240;Mar 7, 2022;1650000000000;the-plant-list;Ceropegia fusca Bolle;Ceropegia fusca Bolle;Apocynaceae;TRUE;cc-by-sa;28,29907096;-16,37160896;;"https://bs.plantnet.org/image/o/bfbdbaf0d827f061b6bb214d09db94bd8b511cbc (leaf)
https://bs.plantnet.org/image/o/92be3ee1a702a219173763bb9a736b7438639b3a (leaf)";sukkulentenbusch
1012645603;https://identify.plantnet.org/the-plant-list/observations/1012645603;Kim P.;https://identify.plantnet.org/users/103923240;Mar 7, 2022;1650000000000;the-plant-list;Cenchrus ciliaris L.;Cenchrus ciliaris L.;Poaceae;TRUE;cc-by-sa;28,29931454;-16,37330781;;"https://bs.plantnet.org/image/o/57be84f610c5d01a7348e12920eb6f7e492718bb (leaf)
https://bs.plantnet.org/image/o/050444d2eb7031e0ffad4b259b2abb9b0520e5b7 (habit)";sukkulentenbusch
1012645592;https://identify.plantnet.org/the-plant-list/observations/1012645592;Kim P.;https://identify.plantnet.org/users/103923240;Mar 7, 2022;1650000000000;the-plant-list;Lavandula canariensis (L.) Mill.;Lavandula canariensis (L.) Mill.;Lamiaceae;TRUE;cc-by-sa;28,29918295;-16,37333077;;"https://bs.plantnet.org/image/o/f6f0b6672ce3f7d2e63ccd938d8d5df5db5dce5a (leaf)
https://bs.plantnet.org/image/o/dfe44ac6db6f48e84a85411f62a1544dc88827b7 (flower)";sukkulentenbusch
1012645563;https://identify.plantnet.org/the-plant-list/observations/1012645563;Kim P.;https://identify.plantnet.org/users/103923240;Mar 7, 2022;1650000000000;the-plant-list;Plocama pendula Aiton;Plocama pendula Aiton;Rubiaceae;TRUE;cc-by-sa;28,2993782;-16,37321393;;"https://bs.plantnet.org/image/o/2f56d7739c63e2d1f2b59e61099083e3623803a8 (leaf)
https://bs.plantnet.org/image/o/1a78ba84adf92487dde3136cd1c6901c021aaac2 (habit)";sukkulentenbusch
1012645559;https://identify.plantnet.org/the-plant-list/observations/1012645559;Kim P.;https://identify.plantnet.org/users/103923240;Mar 7, 2022;1650000000000;the-plant-list;Periploca laevigata Aiton;Periploca laevigata Aiton;Apocynaceae;TRUE;cc-by-sa;28,29943193;-16,37317529;;https://bs.plantnet.org/image/o/84e4c289aefca3936ea7d42d188e9c43d6b4888e (leaf);sukkulentenbusch
1012645510;https://identify.plantnet.org/the-plant-list/observations/1012645510;Kim P.;https://identify.plantnet.org/users/103923240;Mar 7, 2022;1650000000000;the-plant-list;Euphorbia canariensis L.;Euphorbia canariensis L.;Euphorbiaceae;TRUE;cc-by-sa;28,29941253;-16,37318065;;https://bs.plantnet.org/image/o/5c338e6b75a65a54f7501050b3dc9141af4080ed (leaf);sukkulentenbusch
